Title,Bedrooms,Bathrooms,Floor_no,Occupancy_status,Floor_area,City,Price_in_taka,Location,price
"Buy This Nice 750 Sq Ft Flat In Kadamtali, To Fulfill Your Wish",2.0,2.0,7,vacant,750.0,dhaka,"৳3,500,000","Kadamtali, Shyampur",3500000.0
2.75 Katha Residential Plot For Sale In Mirpur-11,,,,vacant,1980.0,dhaka,"৳18,000,000","Section 11, Mirpur",18000000.0
Worthy 1585 SQ FT residence is for sale at Aftab Nagar,3.0,5.0,2,vacant,1585.0,dhaka,"৳14,000,000","Block C, Aftab Nagar",14000000.0
1485 Sq ft Apartment with 3 bedrooms For Sale in Mohammadpur,3.0,3.0,8,vacant,1485.0,dhaka,"৳13,200,000","Jahuri Moholla, Mohammadpur",13200000.0
"1545 Sq Ft Flat With 3 Modest Bedrooms For Sale In Mirpur-2, Block C",3.0,3.0,5,vacant,1545.0,dhaka,"৳14,000,000","Section 2, Mirpur",14000000.0
Completely suitable and ready flat of 1050 SQ FT for Sale in Kallyanpur,3.0,3.0,6,vacant,1050.0,dhaka,"৳8,200,000","Kallyanpur, Mirpur",8200000.0
"Near Rampura Thana, 900 Sq.ft And 2 Bedroom Flat For Sale In West Rampura",2.0,2.0,5,vacant,900.0,dhaka,"৳4,100,000","West Rampura, Rampura",4100000.0
1340 Sq.ft Apartment Is For Sale Close To Muslim para Jame Masjid At Madhya Ajampur,3.0,3.0,3,vacant,1340.0,dhaka,"৳6,200,000","Madhya Ajampur, Dakshin Khan",6200000.0
"1400 Sq Ft Flat With 3 Bedrooms Is Up For Sale In Mohammadpur, Mohammadia Housing Society",3.0,3.0,7,vacant,1400.0,dhaka,"৳11,500,000","Mohammadia Housing Society, Mohammadpur",11500000.0
A Nicely Build 1275 Sq Ft And 3 Bedroom Apartment Is Vacant For Sale In Uttar Badda .,3.0,3.0,3,vacant,1275.0,dhaka,"৳8,000,000","Uttar Badda, Badda",8000000.0
"Spacious Office Space Of 1245 Sq Ft Is Waiting For sale In Block C, Niketan",,,3,vacant,1245.0,dhaka,"৳15,500,000","Block C, Niketan",15500000.0
"An Apartment Is Up For Sale In Ibrahimpur, Near Ibrahimpur Central Jame Masjid.",2.0,2.0,5,vacant,1050.0,dhaka,"৳4,800,000","North Ibrahimpur, Ibrahimpur",4800000.0
A Decent Apartment In Mohakhali Near Jabala ICDDRB Is Up For Sale,2.0,2.0,5,vacant,850.0,dhaka,"৳5,500,000","Dakhshin Para, Mohakhali",5500000.0
Flat For Sale In West Agargaon Nearby Bangladesh Public Service Commission,3.0,4.0,2,vacant,1440.0,dhaka,"৳7,300,000","West Agargaon, Agargaon",7300000.0
"You Can Move Into This Well Planned And Comfortable Residential Flat In Uttara Sector 11 For Sale , Of 948 Sq Ft, Near Shaheed Monsur Ali Medical College And Hospital",2.0,3.0,5,vacant,948.0,dhaka,"৳7,000,000","Sector 11, Uttara",7000000.0
Convenient 800 Square Feet Apartment For Sale In Dhanmondi,2.0,2.0,6,vacant,800.0,dhaka,"৳6,950,000","North Circular Road, Dhanmondi",6950000.0
A 1220 Sq Ft Home Is Available To Sale In West Shewrapara,3.0,2.0,6,vacant,1220.0,dhaka,"৳5,000,000","West Shewrapara, Mirpur",5000000.0
1040 Sq Ft Properly Developed Flat For Sale In Rajanigandha Residential Area,2.0,2.0,1,vacant,1040.0,dhaka,"৳6,500,000","Section 15, Mirpur",6500000.0
"A 1620 Sq Ft Residential Apartment For Sale, In Block C, Khilgaon",3.0,3.0,4,vacant,1620.0,dhaka,"৳16,500,000","Block C, Khilgaon",16500000.0
Flat For Sale Covering A Beautiful Area In Bashundhara R-a Nearby Basundhara Residential Area Puja Mondop.,3.0,3.0,4,vacant,1550.0,dhaka,"৳14,500,000","Block I, Bashundhara R-A",14500000.0
"1000 Sq Ft Apartment For Sale In Pallabi, Mirpur",2.0,2.0,5,vacant,1000.0,dhaka,"৳5,500,000","Pallabi, Mirpur",5500000.0
A Standard Apartment In Mirpur Near To M.A Zabbar Memorial High School Is Up For Sale,2.0,2.0,2,vacant,740.0,dhaka,"৳4,000,000","Pirerbag, Mirpur",4000000.0
An Attractively Designed 1250 Sq Ft Apartment For Sale In Mirpur Section 10,3.0,3.0,6,vacant,1250.0,dhaka,"৳7,800,000","Section 10, Mirpur",7800000.0
"Buy This Modest 1430 Sq Ft Flat In Bashundhara R-a, Block J",3.0,3.0,5,vacant,1430.0,dhaka,"৳12,000,000","Block J, Bashundhara R-A",12000000.0
Celebrate Life Each Day In Your New Apartment Of 1690 Sq Ft At Boro Maghbazar With Your Beloved Family,3.0,3.0,1,vacant,1690.0,dhaka,"৳14,800,000","Boro Maghbazar, Maghbazar",14800000.0
A 1330 Square Ft. Apartment Is For Sale At Banasree,3.0,3.0,1,vacant,1330.0,dhaka,"৳7,900,000","Block B, Banasree",7900000.0
An Impressive 1230 Sq Ft Residential Apartment Is Up For Sale In The Center Of East Shewrapara Near To Jheelpar Jame Masjid,3.0,3.0,2,vacant,1230.0,dhaka,"৳7,400,000","East Shewrapara, Mirpur",7400000.0
An Apartment Of 1700 Sq Ft Is Ready For Sale At Uttara,3.0,3.0,7,vacant,1700.0,dhaka,"৳17,000,000","Sector 7, Uttara",17000000.0
"1300 Sq Ft Residential Apartment Is Up For Sale At Uttara, Sector 10",3.0,3.0,6,vacant,1300.0,dhaka,"৳8,000,000","Sector 10, Uttara",8000000.0
A Convenient 1175 Sq Ft Residential Apartment Is Prepared For Sale At South Pirerbag,3.0,2.0,6,vacant,1175.0,dhaka,"৳6,300,000","Pirerbag, Mirpur",6300000.0
"In East Monipur , 1265 Square Feet Apartment Is For Sale.",3.0,3.0,6,vacant,1265.0,dhaka,"৳8,500,000","East Monipur, Mirpur",8500000.0
"Residential Apartment For Sale in Tipu Sultan Road, Middle Pirerbag",3.0,2.0,7,vacant,1000.0,dhaka,"৳5,700,000","Pirerbag, Mirpur",5700000.0
A Delightful Apartment Of 1554 Sq Ft Is Ready For Sale In A Great Location Of Pallabi,3.0,3.0,1,vacant,1554.0,dhaka,"৳11,500,000","Pallabi, Mirpur",11500000.0
1570 Sq Ft Flat For Sale In Imandipur Road near Imandipur Government Primary School,3.0,3.0,8,vacant,1570.0,dhaka,"৳5,600,000","Imandipur, Savar",5600000.0
Visit This Apartment For Sale In East Monipur Near Life Aid Specialized Hospital Pvt. Ltd.,3.0,2.0,5,vacant,1050.0,dhaka,"৳4,500,000","East Monipur, Mirpur",4500000.0
Check This Nice 815 Sq Ft Flat For Sale At East Monipur Nearby Monipur Baitur Rowshon Jame Masjid,2.0,2.0,6,vacant,815.0,dhaka,"৳4,200,000","East Monipur, Mirpur",4200000.0
Commodious 1590 Sq Ft Flat For Sale In Banasree,3.0,3.0,6,vacant,1590.0,dhaka,"৳11,200,000","Block B, Banasree",11200000.0
"Grab This 800 Square Feet Apartment For Sale In Bashundhara, Block J",2.0,2.0,4,vacant,800.0,dhaka,"৳8,600,000","Block J, Bashundhara R-A",8600000.0
950 Sq Ft Flat Featuring 3 Bedrooms For Sale In Malibagh,3.0,2.0,2,vacant,950.0,dhaka,"৳6,000,000","Gulbag, Malibagh",6000000.0
"Start Residing In This 1230 Sq Ft, Properly Developed Apartment For Sale, In West Shewrapara",2.0,2.0,6,vacant,1230.0,dhaka,"৳5,000,000","West Shewrapara, Mirpur",5000000.0
"1150 Sq Ft Apartment With Serene Views Is Up For Sale In Middle Monipur, Mirpur",3.0,2.0,7,vacant,1150.0,dhaka,"৳6,500,000","Middle Monipur, Mirpur",6500000.0
"Make Sure To Buy This 1150 Sq Ft Apartment, If You Are Looking For A Permanent Residence In Middle Monipur",3.0,2.0,7,vacant,1150.0,dhaka,"৳6,500,000","Middle Monipur, Mirpur",6500000.0
1150 Sq.ft Apartment Is Available For Sale In West Manikdi Which Is Tailored To Your Highest Standards,3.0,3.0,7,vacant,1150.0,dhaka,"৳6,700,000","Manikdi, Cantonment",6700000.0
"Plan Your Urban Life In This 1250 Sq Ft Flat For Sale In Mirpur, East Kazipara",3.0,3.0,2,vacant,1250.0,dhaka,"৳7,600,000","East Kazipara, Mirpur",7600000.0
"Get Ready To Buy This Great Home Of 860 sft In Mirpur, Rupnagar R/a",2.0,2.0,2,vacant,860.0,dhaka,"৳4,900,000","Rupnagar R/A, Mirpur",4900000.0
1050 Square Feet Residential Apartment For Sale At West Kazipara Nearby Baish Bari Masjid,3.0,2.0,1,vacant,1050.0,dhaka,"৳6,200,000","West Kazipara, Mirpur",6200000.0
Buy This 1375 Sq Ft Apartment In Mirpur-6,3.0,3.0,5,vacant,1375.0,dhaka,"৳12,100,000","Section 6, Mirpur",12100000.0
Worthy 900 SQ FT residence is for sale at North Pirerbag,3.0,2.0,2,vacant,900.0,dhaka,"৳5,000,000","Pirerbag, Mirpur",5000000.0
"This 1008 Sq.Ft Convenient Flat Is For Sale In Shadheenata Sharani, Mirpur 10.",3.0,3.0,5,vacant,1008.0,dhaka,"৳4,838,400","Section 10, Mirpur",4838400.0
For Selling Purpose This 1055 Sq.Ft Flat Is Now Vacant In Army Housing Society Road-Moushair .,3.0,2.0,3,vacant,1055.0,dhaka,"৳5,300,000","Moushair, Dakshin Khan",5300000.0
Grab This 1800 Sq.Ft Apartment Up For Sale At Bashundhara R-A Beside Viquarunnisa Noon School and College,3.0,3.0,5,vacant,1800.0,dhaka,"৳16,000,000","Block F, Bashundhara R-A",16000000.0
1250 Square Feet-3 Bedroom Residential Apartment For Sale Close To East Ahmed Nagar Baitul Ekram Masjid.,3.0,3.0,2,vacant,1250.0,dhaka,"৳5,250,000","Ahmed Nagar, Mirpur",5250000.0
A 2146 Sq. Ft Residential Building For Sale Is All Set For You To Settle In Dendabor.,8.0,4.0,,vacant,2146.0,dhaka,"৳10,500,000","Ashulia, Savar",10500000.0
"Let Us Assist You To Buy This 900 Sq.Ft Flat At Sugandha Housing, Hemayetpur Summiting The Vision About Your Future Home.",3.0,2.0,9,vacant,900.0,dhaka,"৳2,900,000","Hemayetpur, Savar",2900000.0
"1050 Sq Ft Flat For Sale In Radio Colony, Savar",2.0,2.0,6,vacant,1050.0,dhaka,"৳3,360,000","Radio Colony, Savar",3360000.0
Find 1250 SQ FT flat available for sale in Bashundhara R-A,3.0,3.0,2,vacant,1250.0,dhaka,"৳11,500,000","Block C, Bashundhara R-A",11500000.0
"Offering You An Excellent 1675 Sq Ft Flat For Sale In Shah Ali Bag, Mirpur",3.0,3.0,9,vacant,1675.0,dhaka,"৳9,712,500","Section 1, Mirpur",9712500.0
"Worthy 1300 Sq Ft Residential Apartment Is For Sale At Ahmed Nagar, Mirpur",3.0,3.0,1,vacant,1300.0,dhaka,"৳7,500,000","Ahmed Nagar, Mirpur",7500000.0
"An Apartment Is Ready For Sale At Uttara -9, Near Uttara Ideal College",3.0,2.0,5,vacant,986.0,dhaka,"৳6,200,000","Sector 9, Uttara",6200000.0
Visit This Apartment For Sale In Dakshin Khan Near Nogoriabari Mohammadia Jame Masjid,2.0,2.0,5,vacant,920.0,dhaka,"৳3,300,000","South Chalabon, Dakshin Khan",3300000.0
Flat For Sale In Agargaon Close To Agargaon Jame Masjid,3.0,3.0,1,vacant,1275.0,dhaka,"৳8,500,000","West Agargaon, Agargaon",8500000.0
1400 Sq Ft Flat Is Available For Sale In Mirpur 12 Nearby City Bank,3.0,3.0,2,vacant,1400.0,dhaka,"৳7,800,000","Section 12, Mirpur",7800000.0
A Reasonable Apartment Is Available For Sale At Mirpur-10,3.0,2.0,4,vacant,1075.0,dhaka,"৳5,500,000","Section 10, Mirpur",5500000.0
"Nice Flat Can Be Found In Uttara For Sale, Near Friends Club Playground",3.0,3.0,1,vacant,1300.0,dhaka,"৳9,600,000","Sector 5, Uttara",9600000.0
Ready Apartment For Sale At Ashkona Nearby Chad Jame Masjid,3.0,3.0,2,vacant,1135.0,dhaka,"৳7,500,000","Ashkona, Dakshin Khan",7500000.0
"Nearly Finished Apartment Is Up For Sale In Mirpur Section 10, Near To Darland International School",2.0,2.0,2,vacant,855.0,dhaka,"৳4,702,500","Section 10, Mirpur",4702500.0
"Convenient Flat Is Up For Sale In Rampura Nearby Rupali Bank Limited, Rampura Branch",3.0,3.0,2,vacant,1425.0,dhaka,"৳9,000,000","East Rampura, Rampura",9000000.0
We Bring You A Beautiful And Distinct Flat Of 2000 Sq Ft For Sale In Baitul Aman Housing Society,4.0,4.0,4,vacant,2000.0,dhaka,"৳14,800,000","Baitul Aman Housing Society, Adabor",14800000.0
Buy This 1600 Sq Ft Beautiful Apartment In Uttara-12,3.0,3.0,2,vacant,1600.0,dhaka,"৳14,000,000","Sector 12, Uttara",14000000.0
"1550 Sq Ft Nice Flat For Sale In Aftab Nagar, Block C",3.0,4.0,9,vacant,1550.0,dhaka,"৳15,000,000","Block C, Aftab Nagar",15000000.0
850 Sq Ft Flat For Sale In South Badda,2.0,2.0,1,vacant,850.0,dhaka,"৳5,000,000","South Badda, Badda",5000000.0
Nearly Finished 1380 Sq Ft Flat For Sale In Aftab Nagar,3.0,3.0,3,vacant,1380.0,dhaka,"৳9,500,000","Block E, Aftab Nagar",9500000.0
"You Can Buy This Lovely Apartment Of 1350 Sq Ft For Live A Relaxed Life At Banasree, Block C",3.0,3.0,8,vacant,1350.0,dhaka,"৳11,300,000","Block C, Banasree",11300000.0
1470 Sq Ft Flat Is For Sale In Mansurabad Housing Society Nearby Baitur Rahman Jame Mosque,3.0,3.0,2,vacant,1470.0,dhaka,"৳7,000,000","Mansurabad Housing Society, Adabor",7000000.0
We are offering you a very spacious 1090 SQ FT flat for Sale in Mirpur near to Holy Crescent School,3.0,2.0,1,vacant,1090.0,dhaka,"৳5,500,000","West Shewrapara, Mirpur",5500000.0
"1220 Sq Ft Flat For Sale In Banasree, Block G",3.0,2.0,7,vacant,1220.0,dhaka,"৳8,000,000","Block G, Banasree",8000000.0
"Live Permanently In A 1550 Sq Ft Property, Which Is Up For Sale Located At Uttar Badda",3.0,3.0,2,vacant,1550.0,dhaka,"৳14,500,000","Uttar Badda, Badda",14500000.0
Reasonable 1654 Sq Ft Apartment For Sale In Uttara 18,3.0,4.0,5,vacant,1654.0,dhaka,"৳12,500,000","Sector 18, Uttara",12500000.0
Flat Is Ready For Sale In East Kazipara Near To Bank Asia Agent Banking,3.0,2.0,2,vacant,975.0,dhaka,"৳4,000,000","East Kazipara, Mirpur",4000000.0
740 Square Feet Residential Flat Is Ready To Sale At Middle Pirerbag,2.0,2.0,4,vacant,740.0,dhaka,"৳3,500,000","Pirerbag, Mirpur",3500000.0
"1370 Sq Ft Apartment Is Available For Sale In Middle Badda, Adarsha Nagar",3.0,3.0,5,vacant,1370.0,dhaka,"৳9,200,000","Middle Badda, Badda",9200000.0
"950 Sq Ft Apartment For Sale In Dakshin Khan, Near Islami Bank Bd Ltd.",3.0,2.0,2,vacant,950.0,dhaka,"৳4,000,000","Moushair, Dakshin Khan",4000000.0
"A 1,365 Sq Ft Flat Is Up For Sale In A Well Secured Location Of Uttar Badda",3.0,3.0,3,vacant,1365.0,dhaka,"৳8,540,000","Uttar Badda, Badda",8540000.0
Favorable 1128 SFT 3 Bedroom Flat For Sale In Badda,3.0,3.0,3,vacant,1128.0,dhaka,"৳7,118,000","Uttar Badda, Badda",7118000.0
Don’t Miss Out On This Attractive 3 Bedroom Flat For Sale In Middle Badda!,3.0,3.0,6,vacant,1388.0,dhaka,"৳9,600,000","Middle Badda, Badda",9600000.0
"Reside In This 1530 Sq Ft Residential Flat For Sale In Mirpur, Paikpara",4.0,3.0,5,vacant,1530.0,dhaka,"৳11,500,000","Paikpara, Mirpur",11500000.0
"Lovely Apartment Of 1200 Sq Ft Is Up For Sale In Section 1, Mirpur",3.0,3.0,4,vacant,1200.0,dhaka,"৳8,700,000","Section 1, Mirpur",8700000.0
"A Nicely Constructed Apartment Of 1200 Sq Ft Is Available Right Now For Sale In Section 1, Mirpur",3.0,3.0,2,vacant,1200.0,dhaka,"৳8,700,000","Section 1, Mirpur",8700000.0
Your Desirable Cozy Flat Of 1250 Sq Ft Is Ready For Sale In Aftab Nagar,3.0,3.0,7,vacant,1250.0,dhaka,"৳7,600,000","Block C, Aftab Nagar",7600000.0
Visit This Apartment For Sale In Mirpur Near Popular Diagnostic Center Limited.,3.0,3.0,4,vacant,1550.0,dhaka,"৳9,500,000","Section 6, Mirpur",9500000.0
An Apartment Of 1550 Sq.ft Is For Sale In The Location Of Bashundhara R-a Near The Aga Khan School.,3.0,3.0,1,vacant,1550.0,dhaka,"৳12,500,000","Block G, Bashundhara R-A",12500000.0
An Adequate 3 Bedroom Apartment Is For Sale In The Location Of Bashundhara R-a Near The Aga Khan School.,3.0,3.0,4,vacant,1550.0,dhaka,"৳12,500,000","Block G, Bashundhara R-A",12500000.0
"Buy This 350 Square Feet Apartment In Bashundhara R-a, Block C",1.0,1.0,3,vacant,350.0,dhaka,"৳5,500,000","Block C, Bashundhara R-A",5500000.0
Nearly Finished 1600 Square Feet Apartment For Sale In Uttara,3.0,3.0,8,vacant,1600.0,dhaka,"৳16,000,000","Sector 15, Uttara",16000000.0
1600 Square Feet 3 Beds Family Apartment For Sale In Uttara,3.0,3.0,4,vacant,1600.0,dhaka,"৳16,000,000","Sector 15, Uttara",16000000.0
This beautiful 1800 sq ft flat located in Uttara is now available | For sale,3.0,3.0,3,vacant,1800.0,dhaka,"৳18,000,000","Sector 13, Uttara",18000000.0
"Buy This 1439 Sq Ft Apartment In Bashundhara R-a, Block B",3.0,3.0,3,vacant,1439.0,dhaka,"৳13,000,000","Block B, Bashundhara R-A",13000000.0
"Buy This 1505 Sq Ft Flat In Middle Badda, Adarsha Nagar",3.0,3.0,3,vacant,1505.0,dhaka,"৳11,500,000","Middle Badda, Badda",11500000.0
1605 Sq Feet | Flat For Sale | Uttara,3.0,4.0,3,vacant,1605.0,dhaka,"৳17,000,000","Sector 11, Uttara",17000000.0
1537 Square Feet Flat With 3 Bedrooms Is Available For Sale In Bashundhara R/a,3.0,3.0,5,vacant,1537.0,dhaka,"৳14,500,000","Block K, Bashundhara R-A",14500000.0
"Offering You A 1700 Sq Ft Flat For Sale In Block E, Bashundhara R-A",3.0,3.0,3,vacant,1700.0,dhaka,"৳16,150,000","Block E, Bashundhara R-A",16150000.0
"1700 Sq Ft Flat For Sale In Block E, Bashundhara R-A",3.0,3.0,3,vacant,1700.0,dhaka,"৳16,150,000","Block E, Bashundhara R-A",16150000.0
"Buy This 1100 Sq Ft Flat In Cantonment, Matikata",3.0,2.0,2,vacant,1100.0,dhaka,"৳6,000,000","Matikata, Cantonment",6000000.0
"1450 Sq Ft Apartment For Sale In Bashundhara R-a, Block B",3.0,3.0,4,vacant,1450.0,dhaka,"৳13,100,000","Block B, Bashundhara R-A",13100000.0
Buy This 1225 Square Feet Flat Available In Bashundhara R-a,3.0,3.0,3,vacant,1225.0,dhaka,"৳11,000,000","Bashundhara Road, Bashundhara R-A",11000000.0
1400 Sq Ft Residential Apartment For Sale At Pallabi,3.0,3.0,2,vacant,1400.0,dhaka,"৳7,800,000","Pallabi, Mirpur",7800000.0
"Looking For A Perfect Family Home To Buy In Banasree, Check This 1450 Sq Ft Well Featured Flat.",3.0,4.0,4,vacant,1450.0,dhaka,"৳14,285,000","Block G, Banasree",14285000.0
860 Sq Ft Apartment Is For Sale In Mirpur-1,2.0,2.0,4,vacant,860.0,dhaka,"৳5,590,000","Section 1, Mirpur",5590000.0
1085 Square Feet Residential Flat For Sale In Dakshin Khan,3.0,2.0,7,vacant,1085.0,dhaka,"৳6,000,000","South Mollartek, Dakshin Khan",6000000.0
"1255 Sq Ft Residential Apartment For Sale in Dhanmondi, Circular Road",3.0,3.0,7,vacant,1255.0,dhaka,"৳13,805,000","Circular Road, Dhanmondi",13805000.0
"1910 Sq Ft Apartment Is Up For Sale In Banasree, Block J",4.0,4.0,4,vacant,1910.0,dhaka,"৳13,752,000","Block J, Banasree",13752000.0
"In the location of Mirpur, very close to Medicine Point is up for sale",2.0,2.0,5,vacant,800.0,dhaka,"৳3,700,000","Section 6, Mirpur",3700000.0
An apartment located on Mirpur near to BSMR Maritime University is waiting for you to make it home!,3.0,3.0,1,vacant,1245.0,dhaka,"৳4,500,000","Pallabi, Mirpur",4500000.0
"Make this flat your next residing location, which is up for Sale in Dakshin Khan Near Ashkona Jame Masjid",3.0,2.0,5,vacant,1250.0,dhaka,"৳4,500,000","Aainusbag, Dakshin Khan",4500000.0
"Flat up for sale in Rupnagar R/A area, near Jaman Plaza",3.0,2.0,4,vacant,1000.0,dhaka,"৳5,100,000","Rupnagar R/A, Mirpur",5100000.0
A Shop Is Up For Sale In Faydabad Near Homes Laboratory School.,,,,vacant,216.0,dhaka,"৳6,000,000","Faydabad, Dakshin Khan",6000000.0
In Mirpur Apartment Can Be Found For Sale Near Shaheed Zia Girls Laboratory School,2.0,2.0,4,vacant,650.0,dhaka,"৳2,200,000","Section 12, Mirpur",2200000.0
An Apartment Which Is Up For Sale At Mirpur Near To M.D.C. Model Institute,2.0,2.0,3,vacant,650.0,dhaka,"৳2,300,000","Section 12, Mirpur",2300000.0
3 Bedrooms Apartment With A View Is Up For Sale,3.0,3.0,5,vacant,1250.0,dhaka,"৳11,500,000","Shiddheswari Lane, Shiddheswari",11500000.0
"In The Location Of Mirpur, Close To Delta Medical College And Hospital A Flat Is Up For Sale.",3.0,2.0,5,vacant,1300.0,dhaka,"৳7,000,000","Section 1, Mirpur",7000000.0
Visit This Flat For Sale In Uttara Nearby Shaheed Monsur Ali Medical College And Hospital,3.0,3.0,1,vacant,1500.0,dhaka,"৳9,000,000","Sector 10, Uttara",9000000.0
A Fine Flat Is Now For Sale Which Is In Mirpur Near Popular Diagnostic Center Limited,3.0,4.0,5,vacant,1460.0,dhaka,"৳11,000,000","Section 6, Mirpur",11000000.0
Visit this apartment for sale in Mirpur near Nurani Jame Masjid,3.0,2.0,6,vacant,1100.0,dhaka,"৳3,800,000","Section 2, Mirpur",3800000.0
"An apartment ready for sale at Mirpur, near Mainuddin Medical Hall",2.0,2.0,3,vacant,650.0,dhaka,"৳3,000,000","Section 10, Mirpur",3000000.0
"Apartment for sale includes 1578 SQ Ft at Mirpur, near Shah Ali Police Station",3.0,4.0,4,vacant,1578.0,dhaka,"৳12,000,000","Section 2, Mirpur",12000000.0
